Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doMessageThreading,Complex Method,Cyclomatic complexity of the method is 14,2135
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,extractNewMessages,Long Statement,The length of the statement "Cursor cursor=db.query("messages"`LocalStore.UID_CHECK_PROJECTION`selection.toString()`selectionArgs.toArray(LocalStore.EMPTY_STRING_ARRAY)`null`null`null);" is 156.,2237
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "Cursor cursor=db.query("messages"`LocalStore.UID_CHECK_PROJECTION`selection.toString()`selectionArgs.toArray(LocalStore.EMPTY_STRING_ARRAY)`null`null`null);" is 156.,2242
k-9-5.600,com.fsck.k9.mailstore,LockableDatabase,execute,Long Statement,The length of the statement "Timber.v("LockableDatabase: Transaction ended` took %d ms / %s"`currentTimeMillis() - begin`new Exception().getStackTrace()[1]);" is 128.,246
k-9-5.600,com.fsck.k9.mailstore,LockableDatabase,switchProvider,Long Statement,The length of the statement "FileHelper.moveRecursive(storageManager.getAttachmentDirectory(uUid`oldProviderId)`storageManager.getAttachmentDirectory(uUid`newProviderId));" is 142.,304
k-9-5.600,com.fsck.k9.mailstore,AttachmentViewInfo,AttachmentViewInfo,Long Parameter List,The method has 7 parameters. ,26
k-9-5.600,org.openintents.openpgp,OpenPgpMetadata,OpenPgpMetadata,Long Parameter List,The method has 5 parameters. ,59
k-9-5.600,org.openintents.openpgp,OpenPgpMetadata,createFromParcel,Magic Number,The method contains a magic number: 2,113
k-9-5.600,org.openintents.openpgp,OpenPgpSignatureResult,OpenPgpSignatureResult,Long Parameter List,The method has 7 parameters. ,68
k-9-5.600,org.openintents.openpgp,OpenPgpSignatureResult,OpenPgpSignatureResult,Magic Number,The method contains a magic number: 2,79
k-9-5.600,org.openintents.openpgp,OpenPgpSignatureResult,createWithValidSignature,Complex Conditional,The conditional expression signatureStatus == RESULT_NO_SIGNATURE || signatureStatus == RESULT_KEY_MISSING || signatureStatus == RESULT_INVALID_SIGNATURE is complex.,186
k-9-5.600,org.openintents.openpgp,OpenPgpSignatureResult,createWithValidSignature,Long Parameter List,The method has 6 parameters. ,186
k-9-5.600,org.openintents.openpgp,OpenPgpSignatureResult,createWithValidSignature,Long Statement,The length of the statement "if (signatureStatus == RESULT_NO_SIGNATURE || signatureStatus == RESULT_KEY_MISSING || signatureStatus == RESULT_INVALID_SIGNATURE) {" is 133.,186
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,onPrepareDialogBuilder,Long Statement,The length of the statement "ListAdapter adapter=new ArrayAdapter<OpenPgpProviderEntry>(getContext()`android.R.layout.select_dialog_singlechoice`android.R.id.text1`mList){" is 142.,89
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,onPrepareDialogBuilder,Magic Number,The method contains a magic number: 10,89
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,onPrepareDialogBuilder,Magic Number,The method contains a magic number: 0.5f,89
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,getView,Magic Number,The method contains a magic number: 10,98
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,getView,Magic Number,The method contains a magic number: 0.5f,98
k-9-5.600,org.openintents.openpgp.util,OpenPgpAppPreference,populateAppList,Long Statement,The length of the statement "mList.add(0`new OpenPgpProviderEntry(""`getContext().getString(R.string.openpgp_list_preference_none)`getContext().getResources().getDrawable(R.drawable.ic_action_cancel_launchersize)));" is 186.,258
k-9-5.600,org.openintents.openpgp.util,OpenPgpKeyPreference,getSummary,Long Statement,The length of the statement "return (mKeyId == NO_KEY) ? getContext().getString(R.string.openpgp_no_key_selected) : getContext().getString(R.string.openpgp_key_selected);" is 141.,51
k-9-5.600,org.openintents.openpgp.util,OpenPgpKeyPreference,bindServiceAndGetSignKeyId,Long Statement,The length of the statement "mServiceConnection=new OpenPgpServiceConnection(getContext().getApplicationContext()`mOpenPgpProvider`new OpenPgpServiceConnection.OnBound(){" is 141.,79
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,convertKeyIdToHex,Magic Number,The method contains a magic number: 32,70
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,convertKeyIdToHex32bit,Magic Number,The method contains a magic number: 0xffffffffL,74
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,convertKeyIdToHex32bit,Magic Number,The method contains a magic number: 8,74
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,extractClearsignedMessage,Long Identifier,The length of the field PGP_MARKER_CLEARSIGN_BEGIN_MESSAGE is 34.,82
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,extractClearsignedMessage,Long Identifier,The length of the field PGP_MARKER_CLEARSIGN_BEGIN_SIGNATURE is 36.,82
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,extractClearsignedMessage,Magic Number,The method contains a magic number: 4,82
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,splitUserId,Magic Number,The method contains a magic number: 3,100
k-9-5.600,org.openintents.openpgp.util,OpenPgpUtils,splitUserId,Magic Number,The method contains a magic number: 2,100
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,getRandomColor,Magic Number,The method contains a magic number: 2,59
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,calculateColor,Magic Number,The method contains a magic number: 2,72
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 16,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 48,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 5,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 0x60,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 5,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,init,Magic Number,The method contains a magic number: 2,189
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,onDraw,Magic Number,The method contains a magic number: 1.2,217
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,onMeasure,Magic Number,The method contains a magic number: 0.5f,236
k-9-5.600,com.larswerkman.colorpicker,ColorPicker,colorToAngle,Magic Number,The method contains a magic number: 2,275
