Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 1024,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 1024,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 4,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 1024,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 12,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 2,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 3,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,showMemoryDialog,Magic Number,The method contains a magic number: 6,2903
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,backupSettingsFile,Magic Number,The method contains a magic number: 5,2975
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,exit,Complex Method,Cyclomatic complexity of the method is 9,3054
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,getRegisterStatusPrompt,Long Statement,The length of the statement "return jEdit.getProperty("view.status." + action`new String[]{registerNameString == null ? jEdit.getProperty("view.status.no-registers") : registerNameString});" is 160.,3188
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,usage,Long Statement,The length of the statement "System.out.println(" <file> +line:<line>`<column>: Positions caret" + " at line number <line> and column number <column>");" is 123.,3462
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,makeServerScript,Long Parameter List,The method has 6 parameters. ,3511
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,makeServerScript,Long Statement,The length of the statement "script.append("BeanShell.runScript(view`\"").append(StandardUtilities.charsToEscapes(scriptFile)).append("\"`null`this.namespace);\n");" is 135.,3511
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,initMisc,Complex Method,Cyclomatic complexity of the method is 10,3576
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,initMisc,Long Statement,The length of the statement "System.getProperties().put("java.protocol.handler.pkgs"`"org.gjt.sp.jedit.proto|" + System.getProperty("java.protocol.handler.pkgs"`""));" is 137.,3576
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,initMisc,Long Statement,The length of the statement "String userAgent="jEdit/" + getVersion() + " (Java "+ System.getProperty("java.version")+ ". "+ System.getProperty("java.vendor")+ "; "+ System.getProperty("os.arch")+ ')';" is 172.,3576
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,initSystemProperties,Long Statement,The length of the statement "Log.log(Log.ERROR`jEdit.class`"One of the following property files could not be loaded:\n" + "- jedit.props\n" + "- jedit_gui.props\n"+ "- jedit_en.props\n"+ "jedit.jar is probably corrupt.");" is 192.,3765
